basis_set,xc,mae,maxe,is_hybrid
cc-pVQZ,LDA,4.030642255373261,7.076848691286305,non hybrid
cc-pVDZ,LDA,2.654235208479304,4.560796571497267,non hybrid
@PBE_DZ,LDA,2.638182382609592,4.548041931867974,non hybrid
@PBE0_DZ,LDA,2.764828831723154,5.528256244679369,non hybrid
@PBE-2X_DZ,LDA,4.332482798075595,8.047933341983516,non hybrid
@HF_DZ,LDA,0.0,0.0,non hybrid
cc-pVQZ,M06-L,3.3220856139280808,9.002006989215861,non hybrid
cc-pVDZ,M06-L,3.599114179646728,9.668426883742232,non hybrid
@PBE_DZ,M06-L,3.552164138713209,9.06880338222496,non hybrid
@PBE0_DZ,M06-L,3.4565011147982854,9.085170559418348,non hybrid
@PBE-2X_DZ,M06-L,3.5174875144469513,7.407578888978751,non hybrid
@HF_DZ,M06-L,0.0,0.0,non hybrid
cc-pVQZ,PBE,5.9975994485063495,8.944927123897433,non hybrid
cc-pVDZ,PBE,2.504124397924508,7.32802286567463,non hybrid
@PBE_DZ,PBE,2.504124397924508,7.32802286567463,non hybrid
@PBE0_DZ,PBE,2.2282448539542696,6.156129625091726,non hybrid
@PBE-2X_DZ,PBE,2.2485220096502005,4.3673095240398325,non hybrid
@HF_DZ,PBE,0.0,0.0,non hybrid
cc-pVQZ,TPSS,3.9609019449877767,5.842977621868304,non hybrid
cc-pVDZ,TPSS,1.8457437494446056,4.720828911193312,non hybrid
@PBE_DZ,TPSS,1.8471793783672081,4.676836968847656,non hybrid
@PBE0_DZ,TPSS,1.8333678954491122,3.9661512017361567,non hybrid
@PBE-2X_DZ,TPSS,2.2809348756308565,4.915826572820073,non hybrid
@HF_DZ,TPSS,0.0,0.0,non hybrid
cc-pVQZ,r2SCAN,5.17148860390228,11.560851858848455,non hybrid
cc-pVDZ,r2SCAN,3.86282203987389,9.916072901023345,non hybrid
@PBE_DZ,r2SCAN,3.8555740123347317,9.915303617361733,non hybrid
@PBE0_DZ,r2SCAN,3.7848655774853346,9.31268429561911,non hybrid
@PBE-2X_DZ,r2SCAN,3.9865692401836132,7.315973285331129,non hybrid
@HF_DZ,r2SCAN,0.0,0.0,non hybrid
cc-pVQZ,SCAN,5.589795845096521,11.914026343514397,non hybrid
cc-pVDZ,SCAN,3.985382409609596,9.97654033233599,non hybrid
@PBE_DZ,SCAN,3.8851313140891333,9.698643616807804,non hybrid
@PBE0_DZ,SCAN,3.90693597734524,9.507411273055059,non hybrid
@PBE-2X_DZ,SCAN,4.124329981108711,7.8650460781706535,non hybrid
@HF_DZ,SCAN,0.0,0.0,non hybrid
cc-pVQZ,SCAN0,3.430429292201737,8.465531609005776,hybrid
cc-pVDZ,SCAN0,4.123351621784338,6.97200434534799,hybrid
@PBE_DZ,SCAN0,4.2924456763486525,8.934920958178544,hybrid
@PBE0_DZ,SCAN0,4.10550012172989,6.988992138091511,hybrid
@PBE-2X_DZ,SCAN0,4.21605679821173,7.747603743391814,hybrid
@HF_DZ,SCAN0,0.0,0.0,hybrid
cc-pVQZ,PBE-2X,2.027060287974758,4.553137039081886,hybrid
cc-pVDZ,PBE-2X,3.7071140151712747,8.969787874177008,hybrid
@PBE_DZ,PBE-2X,7.2765257549620195,15.09459064926299,hybrid
@PBE0_DZ,PBE-2X,4.041099461560156,10.155339181295325,hybrid
@PBE-2X_DZ,PBE-2X,3.7071140151712747,8.969787874177008,hybrid
@HF_DZ,PBE-2X,0.0,0.0,hybrid
cc-pVQZ,PBE0,2.5646735752679928,5.227303707620305,hybrid
cc-pVDZ,PBE0,2.759655208166986,5.535266338225519,hybrid
@PBE_DZ,PBE0,2.9692079978309196,7.1172126437821035,hybrid
@PBE0_DZ,PBE0,2.759655208166986,5.535266338225519,hybrid
@PBE-2X_DZ,PBE0,2.9237960867662864,6.498086537538974,hybrid
@HF_DZ,PBE0,0.0,0.0,hybrid
cc-pVQZ,M06-2X,2.6534209656054633,4.608177813898347,hybrid
cc-pVDZ,M06-2X,5.39016450900806,10.848824183779051,hybrid
@PBE_DZ,M06-2X,8.424475795276239,15.985320873143145,hybrid
@PBE0_DZ,M06-2X,5.749408228579579,11.694843412463719,hybrid
@PBE-2X_DZ,M06-2X,5.441069212590549,10.933451764579367,hybrid
@HF_DZ,M06-2X,0.0,0.0,hybrid
cc-pVQZ,M05-2X,2.059242277837153,4.322903741076626,hybrid
cc-pVDZ,M05-2X,4.737796016814458,10.677027200904185,hybrid
@PBE_DZ,M05-2X,7.889733746264631,15.616474773977451,hybrid
@PBE0_DZ,M05-2X,5.078623666972386,11.483085769719573,hybrid
@PBE-2X_DZ,M05-2X,4.7384148155622805,10.781899325303165,hybrid
@HF_DZ,M05-2X,0.0,0.0,hybrid
cc-pVQZ,B3LYP,4.945917022779766,9.538281747513029,hybrid
cc-pVDZ,B3LYP,3.129904869412187,6.670787773253924,hybrid
@PBE_DZ,B3LYP,3.218010235921597,5.740391790960452,hybrid
@PBE0_DZ,B3LYP,3.1501671832034748,6.734018328435614,hybrid
@PBE-2X_DZ,B3LYP,3.2911804710244046,5.9035510364481425,hybrid
@HF_DZ,B3LYP,0.0,0.0,hybrid
cc-pVQZ,DM21,2.8810386050240506,8.168671559570758,hybrid
cc-pVDZ,DM21,0.0,0.0,hybrid
@PBE_DZ,DM21,0.0,0.0,hybrid
@PBE0_DZ,DM21,0.0,0.0,hybrid
@PBE-2X_DZ,DM21,0.0,0.0,hybrid
@HF_DZ,DM21,0.0,0.0,hybrid
cc-pVQZ,piM06-2X-DL,2.240382760786605,4.680221187497974,hybrid
cc-pVDZ,piM06-2X-DL,0.0,0.0,hybrid
@PBE_DZ,piM06-2X-DL,0.0,0.0,hybrid
@PBE0_DZ,piM06-2X-DL,0.0,0.0,hybrid
@PBE-2X_DZ,piM06-2X-DL,0.0,0.0,hybrid
@HF_DZ,piM06-2X-DL,0.0,0.0,hybrid
cc-pVQZ,piM06-2X,2.344615109225035,4.815085377060576,hybrid
cc-pVDZ,piM06-2X,0.0,0.0,hybrid
@PBE_DZ,piM06-2X,0.0,0.0,hybrid
@PBE0_DZ,piM06-2X,0.0,0.0,hybrid
@PBE-2X_DZ,piM06-2X,0.0,0.0,hybrid
@HF_DZ,piM06-2X,0.0,0.0,hybrid
