basis_set,xc,mae,maxe,is_hybrid
cc-pVQZ,LDA,10.469804641558563,20.222105034023187,non hybrid
cc-pVQZ,M06-L,10.469804641558563,20.222105034023187,non hybrid
cc-pVQZ,PBE,10.469804641558563,20.222105034023187,non hybrid
cc-pVQZ,TPSS,10.469804641558563,20.222105034023187,non hybrid
cc-pVQZ,r2SCAN,10.469804641558563,20.222105034023187,non hybrid
cc-pVQZ,SCAN,10.469804641558563,20.222105034023187,non hybrid
cc-pVQZ,SCAN0,10.469804641558563,20.222105034023187,hybrid
cc-pVQZ,PBE-2X,10.469804641558563,20.222105034023187,hybrid
cc-pVQZ,PBE0,10.469804641558563,20.222105034023187,hybrid
cc-pVQZ,M06-2X,10.469804641558563,20.222105034023187,hybrid
cc-pVQZ,M05-2X,10.469804641558563,20.222105034023187,hybrid
cc-pVQZ,B3LYP,10.469804641558563,20.222105034023187,hybrid
cc-pVQZ,DM21,10.469804641558563,20.222105034023187,hybrid
cc-pVQZ,piM06-2X-DL,10.469804641558563,20.222105034023187,hybrid
cc-pVQZ,piM06-2X,10.469804641558563,20.222105034023187,hybrid
