basis_set,xc,mae,maxe
6-31G,NN-PBE,5481.496256759188,5556.346871038287
6-31G,LDA,4911.315273675727,4976.961720153004
6-31G,M06-L,5447.469038611794,5522.006231666188
6-31G,PBE,5455.790346462563,5530.2138554252
6-31G,TPSS,5516.443853174163,5590.097432491683
6-31G,r2SCAN,5485.556835312039,5555.422768573356
6-31G,SCAN,5486.3847485656115,5556.790748025779
6-31G,SCAN0,5479.843581247223,5550.454743610888
6-31G,PBE-2X,5459.1131542674775,5531.689415382913
6-31G,PBE0,5455.432098576073,5529.468210001934
6-31G,M06-2X,5421.829844806769,5497.510337720765
6-31G,M05-2X,5412.55053275587,5489.130485563093
6-31G,B3LYP,5467.888207107068,5542.604950182648
6-31G,DM21,4986.809605001343,5423.152581939991
6-31G,piM06-2X-DL,5393.723712153026,5467.015866014208
6-31G,piM06-2X,5390.096223724552,5463.277912940363
