r,xc,basis,e
0.75,PBE-2X,6-31G,-2.0898754533272688
0.5,PBE0,6-31G,-2.0796247637461063
0.7,TPSS,6-31G,-2.122527657839056
0.75,LDA,6-31G,-1.8872919962707106
0.75,piM06-2X,6-31G,-2.0627645930417824
0.8,piM06-2X,6-31G,-2.0514227663653073
0.55,M06-L,6-31G,-2.095803130704345
0.65,PBE-2X,6-31G,-2.105785028979253
0.7,PBE,6-31G,-2.09915529976972
0.75,SCAN,6-31G,-2.1016683033633434
0.45,PBE,6-31G,-2.040038892869424
0.5,SCAN,6-31G,-2.0888530146893443
0.8500000000000001,NN-PBE,6-31G,-2.0753052582970306
0.5,piM06-2X-DL,6-31G,-2.0573478494668826
0.65,NN-PBE,6-31G,-2.1154063542151054
0.45,TPSS,6-31G,-2.0614363437257386
0.75,SCAN0,6-31G,-2.099051920426869
0.9,NN-PBE,6-31G,-2.0631194017245598
0.65,r2SCAN,6-31G,-2.1157209622944055
0.75,r2SCAN,6-31G,-2.101379972843751
0.7,SCAN0,6-31G,-2.1081024960935615
0.45,LDA,6-31G,-1.8101211101608397
0.6,piM06-2X-DL,6-31G,-2.0822760868460133
0.6,PBE0,6-31G,-2.1060629251578495
0.45,M05-2X,6-31G,-2.0238063760238565
0.75,PBE0,6-31G,-2.088812316857253
0.75,M06-L,6-31G,-2.086528029108079
0.8500000000000001,M06-2X,6-31G,-2.0517340625674443
0.8,B3LYP,6-31G,-2.0822263558425522
0.8,NN-PBE,6-31G,-2.087758459139605
0.5,PBE-2X,6-31G,-2.080646348607151
0.6,M05-2X,6-31G,-2.0906990994336674
0.55,piM06-2X-DL,6-31G,-2.0758988842312727
0.8500000000000001,piM06-2X-DL,6-31G,-2.0411798863223503
0.5,NN-PBE,6-31G,-2.0890880368807423
0.6,piM06-2X,6-31G,-2.08085237590568
0.5,r2SCAN,6-31G,-2.088293889890922
0.95,SCAN,6-31G,-2.056489941395572
0.9,M05-2X,6-31G,-2.0359966342753477
0.8500000000000001,SCAN0,6-31G,-2.07653061814671
0.75,PBE,6-31G,-2.089504698325453
0.45,PBE0,6-31G,-2.0405731919646226
0.8,piM06-2X-DL,6-31G,-2.05289286779597
0.45,PBE-2X,6-31G,-2.0417761555369114
0.5,M06-2X,6-31G,-2.0679071286706012
0.8500000000000001,r2SCAN,6-31G,-2.0791056788523794
0.6,PBE,6-31G,-2.1063469264617023
0.75,M05-2X,6-31G,-2.07283501683773
0.95,LDA,6-31G,-1.8527736018359469
0.95,piM06-2X,6-31G,-2.0185705604001085
0.95,NN-PBE,6-31G,-2.0519067507419395
0.6,SCAN,6-31G,-2.116469528861466
0.7,M06-2X,6-31G,-2.085662256425933
0.9,TPSS,6-31G,-2.077351462503956
0.95,M05-2X,6-31G,-2.0244331113574923
0.9,B3LYP,6-31G,-2.0578848081165386
0.6,LDA,6-31G,-1.8921544906600571
0.7,SCAN,6-31G,-2.110659115938037
0.7,PBE0,6-31G,-2.0985220023494566
0.9,LDA,6-31G,-1.8611364661688576
0.5,PBE,6-31G,-2.079401661978407
0.45,SCAN,6-31G,-2.049656179679783
0.7,PBE-2X,6-31G,-2.099423389418237
0.65,piM06-2X-DL,6-31G,-2.0807218413768043
0.9,M06-L,6-31G,-2.0502301184653433
0.9,PBE-2X,6-31G,-2.0559393820664615
0.7,piM06-2X-DL,6-31G,-2.074031798033558
0.45,SCAN0,6-31G,-2.0471849202915426
0.9,M06-2X,6-31G,-2.0398143261581554
0.75,TPSS,6-31G,-2.1131278215669687
0.55,NN-PBE,6-31G,-2.1089792162861256
0.5,M06-L,6-31G,-2.0759664402587577
0.95,M06-L,6-31G,-2.0385983506364314
0.9,PBE0,6-31G,-2.0535460983489937
0.8500000000000001,M06-L,6-31G,-2.0625483299583536
0.5,SCAN0,6-31G,-2.086446573229428
0.5,LDA,6-31G,-1.8550615702126123
0.8500000000000001,SCAN,6-31G,-2.0791223290553047
0.65,SCAN0,6-31G,-2.113747067786095
0.45,piM06-2X-DL,6-31G,-2.019489942126023
