r,xc,basis,e
1.50,NN-PBE,aug-cc-pVTZ,0.6410968359397553
1.60,NN-PBE,aug-cc-pVTZ,0.5955693100119515
1.70,NN-PBE,aug-cc-pVTZ,0.5688559812879923
1.80,NN-PBE,aug-cc-pVTZ,0.5450195453017663
1.85,NN-PBE,aug-cc-pVTZ,0.5434260171740171
1.90,NN-PBE,aug-cc-pVTZ,0.5207998615334262
1.95,NN-PBE,aug-cc-pVTZ,0.5127715544854929
2.00,NN-PBE,aug-cc-pVTZ,0.4999570452102695
2.05,NN-PBE,aug-cc-pVTZ,0.47508655623991203
2.10,NN-PBE,aug-cc-pVTZ,0.4363584665791471
2.15,NN-PBE,aug-cc-pVTZ,0.3948899719373067
2.20,NN-PBE,aug-cc-pVTZ,0.3379222945374778
2.30,NN-PBE,aug-cc-pVTZ,0.19761333184767693
2.40,NN-PBE,aug-cc-pVTZ,0.013389888921398807
2.50,NN-PBE,aug-cc-pVTZ,-0.22319631051544775
2.60,NN-PBE,aug-cc-pVTZ,-0.5018587535459638
2.70,NN-PBE,aug-cc-pVTZ,-0.8107897699233728
2.80,NN-PBE,aug-cc-pVTZ,-1.143662678353893
2.90,NN-PBE,aug-cc-pVTZ,-1.4956410513096152
1.50,M06-2X,aug-cc-pVTZ,1.2653450575584806
1.60,M06-2X,aug-cc-pVTZ,0.9423225466178753
1.70,M06-2X,aug-cc-pVTZ,0.7590300255636002
1.80,M06-2X,aug-cc-pVTZ,0.6461123355636182
1.85,M06-2X,aug-cc-pVTZ,0.624694813253317
1.90,M06-2X,aug-cc-pVTZ,0.581917354601682
1.95,M06-2X,aug-cc-pVTZ,0.5706701494769533
2.00,M06-2X,aug-cc-pVTZ,0.5634221336997705
2.05,M06-2X,aug-cc-pVTZ,0.5369176630309553
2.10,M06-2X,aug-cc-pVTZ,0.4901873318544503
2.15,M06-2X,aug-cc-pVTZ,0.4552264226010685
2.20,M06-2X,aug-cc-pVTZ,0.41962105094184565
2.30,M06-2X,aug-cc-pVTZ,0.35028148963843364
2.40,M06-2X,aug-cc-pVTZ,0.30756934766219857
2.50,M06-2X,aug-cc-pVTZ,0.2511114664947094
2.60,M06-2X,aug-cc-pVTZ,0.2018623459661928
2.70,M06-2X,aug-cc-pVTZ,0.1917467347734192
2.80,M06-2X,aug-cc-pVTZ,0.16165353478270994
2.90,M06-2X,aug-cc-pVTZ,0.1350268679447293
3.00,M06-2X,aug-cc-pVTZ,0.10326996057827387
3.10,M06-2X,aug-cc-pVTZ,0.07105780502659798
3.20,M06-2X,aug-cc-pVTZ,0.037789709527940474
3.30,M06-2X,aug-cc-pVTZ,-0.019380469933041766
3.40,M06-2X,aug-cc-pVTZ,-0.029511677441671935
3.50,M06-2X,aug-cc-pVTZ,-0.08471074057044525
3.60,M06-2X,aug-cc-pVTZ,-0.09947050182311301
3.70,M06-2X,aug-cc-pVTZ,-0.13006777283615278
